DEBUG 2025-01-27 07:51:16,875 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\re\_parser.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,875 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1737874396.922931
DEBUG 2025-01-27 07:51:16,875 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1737874396.7784967
DEBUG 2025-01-27 07:51:16,875 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1737874397.3336706
DEBUG 2025-01-27 07:51:16,881 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1737874391.2835822
DEBUG 2025-01-27 07:51:16,881 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1737874397.0985324
DEBUG 2025-01-27 07:51:16,881 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1737874396.842553
DEBUG 2025-01-27 07:51:16,881 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\settings.py first seen with mtime 1737874403.5391812
DEBUG 2025-01-27 07:51:16,881 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1737874393.8648365
DEBUG 2025-01-27 07:51:16,881 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\calendar.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,881 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\urllib3\__init__.py first seen with mtime 1737874391.265432
DEBUG 2025-01-27 07:51:16,881 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\zoneinfo\__init__.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,885 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\glob.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,885 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1737874397.2082186
DEBUG 2025-01-27 07:51:16,885 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\contrib\messages\utils.py first seen with mtime 1737874395.4550283
DEBUG 2025-01-27 07:51:16,885 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1737874397.3336706
DEBUG 2025-01-27 07:51:16,885 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\requests\structures.py first seen with mtime 1737874392.6054208
DEBUG 2025-01-27 07:51:16,885 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\utils\breadcrumbs.py first seen with mtime 1737874404.1422143
DEBUG 2025-01-27 07:51:16,885 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\asyncio\windows_events.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,885 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1737874391.265432
DEBUG 2025-01-27 07:51:16,885 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\DLLs\_decimal.pyd first seen with mtime 1702663617.4834852
DEBUG 2025-01-27 07:51:16,885 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\urllib\response.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,885 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\xml\dom\__init__.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,891 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1737874397.0905433
DEBUG 2025-01-27 07:51:16,891 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1737874395.5084736
DEBUG 2025-01-27 07:51:16,893 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\dispatch\dispatcher.py first seen with mtime 1737874397.1100237
DEBUG 2025-01-27 07:51:16,894 autoreload File C:\Users\naveen.kumar\AppData\Local\anaconda3\Lib\multiprocessing\reduction.py first seen with mtime 1701712589.0
DEBUG 2025-01-27 07:51:16,894 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\chrome\webdriver.py first seen with mtime 1737902361.1667535
DEBUG 2025-01-27 07:51:16,895 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\selenium\webdriver\common\actions\key_input.py first seen with mtime 1737902361.1959176
DEBUG 2025-01-27 07:51:16,896 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1737874397.1295955
DEBUG 2025-01-27 07:51:16,896 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\utils\__init__.py first seen with mtime 1737874404.138549
DEBUG 2025-01-27 07:51:16,896 autoreload File D:\Python projects\web scrapper\venv\Lib\site-packages\rest_framework\utils\serializer_helpers.py first seen with mtime 1737874404.1706924
